20201021 11:04:33 Home condition : clear transaksi success
20201021 11:04:33 Home condition : clear array success
20201021 11:04:33 Home condition : clear array nasabah success
20201021 11:04:33 Home condition : clear list success
20201021 11:04:33 Home condition : clear transaksi baru success
20201021 11:04:33 Home condition : clear transaksi success
20201021 11:04:33 Home condition : clear array success
20201021 11:04:33 Home condition : clear array nasabah success
20201021 11:04:33 Home condition : clear list success
20201021 11:04:33 Home condition : clear transaksi baru success
20201021 11:04:33 Home condition : entered into home page
